Site,plant_massg,plant_ht.m,perc_15NPlantUptake,C.NBulk,C.NRhizosphere,PercN.bulk,PercC.bulk,PercS.bulk,PercN.Rhizo,PercC.Rhizo,PercS.Rhizo,Perc.Moisture,SOM,pH,WHC,BeginningSoilMoisture,EndSoilMoisture
Valley,128.56,2.5908,30.58,8.97,9.1,0.38,3.41,0.07,0.4,3.66,0.07,14.89,6.83,5.77,62.0221169,0.169590643,0.2281
Valley,113.799,2.472266667,35.58,10.85,9.65,0.44,4.82,0.07,0.43,4.12,0.06,18.17,8.73,5.79,65.48754637,0.177514793,0.2691
Valley,187.68,2.404533333,60.39,9.65,10.24,0.53,5.08,0.08,0.45,4.64,0.06,16.53,8.87,5.79,66.46166462,0.19047619,0.2878
Valley,150.58,2.286,44.4,9.96,9.94,0.46,4.53,0.08,0.49,4.84,0.06,21.42,7.93,5.88,66.56156945,0.182352941,0.2383
Valley,142.53,2.116666667,55.35,9.06,9.03,0.35,3.2,0.07,0.36,3.23,0.06,21.48,6.58,5.82,70.08152592,0.175757576,0.2296
Valley,250.2,2.218266667,82.98,8.6,8.89,0.38,3.28,0.07,0.42,3.74,0.07,20.46,7.91,5.88,67.78208859,0.17816092,0.2436
Valley,138.73,2.302933333,50.29,10.51,8.94,0.44,4.63,0.08,0.4,3.61,0.07,15.8,8.39,5.91,62.3200443,0.115384615,0.1846
Ridge,108.82,2.3622,33.72,8.94,8.63,0.33,2.91,0.07,0.31,2.71,0.06,22.81,6.1,5.81,65.45915325,0.102150538,0.1489
Ridge,237.88,2.6289,84.51,9.08,9.35,0.31,2.79,0.06,0.33,3.09,0.06,26.91,6.25,5.78,64.90623804,0.16,0.1817
Ridge,282.95,2.506133333,99.78,9.21,9.12,0.3,2.8,0.06,0.33,2.96,0.06,28.78,5.95,5.77,72.02810131,0.121546961,0.1653
Ridge,215.48,2.6162,60.79,9.38,9.29,0.4,3.71,0.08,0.38,3.55,0.06,23.83,7.23,5.6,74.73908413,0.134408602,0.2142
Ridge,266.96,2.54,83.43,9.22,9.05,0.38,3.51,0.07,0.36,3.29,0.06,22.96,7.21,5.64,74.45948048,0.114285714,0.2148
Ridge,193.73,2.5527,71.36,8.75,8.78,0.35,3.02,0.06,0.32,2.77,0.06,24.36,6.92,5.66,72.27371023,0.110526316,0.2046
Ridge,169.93,2.5019,58.93,8.23,8.24,0.29,2.41,0.06,0.27,2.26,0.06,18.46,5.79,5.61,66.31746032,0.082474227,0.158